Fiscal Year,Price_Low,Price_High,RPS,FCFS,EPS,DPS,Revenue,COGS,GrossProfit,OperatingProfit,OPEX,NetProfit,CashFromOps,CAPEX,FreeCashFlow,SharesOutstanding,Issues,BuyBack,Dividends,CashAndEquivalents,MarketSecurities,Treasury,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities
1992-12,2.06,3.06,1.027,0.111,0.15,0.047,245.1,0.0,245.1,356.2,-111.1,35.8,45.1,-18.6,26.5,238.667,1.6,-5.0,-10.4,0.0,31.6,0.0,61.7,144.4,0.0,44.8
1993-12,2.55,4.09,1.244,0.105,0.195,0.056,310.0,0.0,310.0,441.3,-131.3,48.6,38.3,-12.2,26.1,249.231,3.0,-2.3,-12.1,0.0,97.0,0.0,140.1,123.3,0.0,58.3
1994-12,3.16,4.78,1.562,0.383,0.25,0.069,382.4,0.0,382.4,483.0,-100.6,61.2,111.1,-17.4,93.7,244.8,-26.4,0.0,-15.1,0.0,121.7,0.0,168.4,128.9,0.0,64.8
1995-12,3.39,6.94,1.775,0.315,0.305,0.086,439.3,0.0,439.3,556.7,-117.4,75.5,101.8,-23.9,77.9,247.541,-9.7,0.0,-18.3,0.0,149.6,0.0,205.4,159.9,0.0,69.5
1996-12,5.41,11.38,2.38,0.335,0.4,0.158,586.1,0.0,586.1,747.0,-160.9,98.5,141.2,-58.8,82.4,246.25,5.1,-19.7,-24.1,0.0,168.6,0.0,241.8,237.0,0.0,94.9
1997-12,9.28,18.38,2.954,0.5,0.565,0.14,755.0,0.0,755.0,924.5,-169.5,144.4,197.8,-70.1,127.7,255.575,15.1,-9.7,-30.1,0.0,173.7,0.0,260.5,385.6,0.0,109.6
1998-12,11.38,21.22,3.409,0.675,0.67,0.178,886.142,0.0,886.142,312.814,573.328,174.14,231.975,-56.558,175.417,259.91,12.901,-36.424,-40.406,0.0,0.0,0.0,0.0,796.8,0.0,182.5
1999-12,13.22,20.44,4.004,0.848,0.925,0.215,1036.379,0.0,1036.379,414.944,621.435,239.404,296.937,-77.417,219.52,258.815,9.967,-67.418,-48.241,358.472,233.924,0.0,714.033,284.006,150.0,17.635
2000-12,15.09,24.31,4.462,0.918,1.04,0.27,1154.0,0.0,1154.0,409.0,745.0,269.0,323.0,-85.612,237.388,258.654,19.279,0.0,-62.88,0.0,0.0,0.0,0.0,1469.0,0.0,478.0
2001-12,12.85,21.34,3.858,0.964,0.76,0.305,995.0,0.0,995.0,311.0,684.0,196.0,290.0,-41.375,248.625,257.895,13.102,-30.923,-73.838,0.0,0.0,0.0,0.0,1313.0,0.0,235.0
