Date,SharePrice,ExDiv,DivPay,DivPeriod,FwdDiv,FwdDivYield,Price/Div_Fwd
1999-10-01,14.13,,0.0,4,0.0,0.0,inf
1999-10-04,14.06,,0.0,4,0.0,0.0,inf
1999-10-05,14.19,,0.0,4,0.0,0.0,inf
1999-10-06,14.88,,0.0,4,0.0,0.0,inf
1999-10-07,14.13,,0.0,4,0.0,0.0,inf
1999-10-08,14.06,,0.0,4,0.0,0.0,inf
1999-10-11,14.06,,0.0,4,0.0,0.0,inf
1999-10-12,14.13,,0.0,4,0.0,0.0,inf
1999-10-13,14.06,,0.0,4,0.0,0.0,inf
1999-10-14,13.63,,0.0,4,0.0,0.0,inf
1999-10-15,13.06,,0.0,4,0.0,0.0,inf
1999-10-18,12.81,,0.0,4,0.0,0.0,inf
1999-10-19,13.25,,0.0,4,0.0,0.0,inf
1999-10-20,13.13,,0.0,4,0.0,0.0,inf
1999-10-21,13.44,,0.0,4,0.0,0.0,inf
1999-10-22,13.5,,0.0,4,0.0,0.0,inf
1999-10-25,13.94,,0.0,4,0.0,0.0,inf
1999-10-26,14.0,,0.0,4,0.0,0.0,inf
1999-10-27,14.06,,0.0,4,0.0,0.0,inf
1999-10-28,14.13,,0.0,4,0.0,0.0,inf
1999-10-29,15.25,,0.0,4,0.0,0.0,inf
1999-11-01,14.75,,0.0,4,0.0,0.0,inf
1999-11-02,14.75,,0.0,4,0.0,0.0,inf
1999-11-03,14.75,,0.0,4,0.0,0.0,inf
1999-11-04,14.94,,0.0,4,0.0,0.0,inf
1999-11-05,15.75,,0.0,4,0.0,0.0,inf
1999-11-08,16.63,,0.0,4,0.0,0.0,inf
1999-11-09,16.13,,0.0,4,0.0,0.0,inf
1999-11-10,16.06,,0.0,4,0.0,0.0,inf
1999-11-11,16.13,,0.0,4,0.0,0.0,inf
1999-11-12,18.0,,0.0,4,0.0,0.0,inf
1999-11-15,17.69,,0.0,4,0.0,0.0,inf
1999-11-16,17.44,,0.0,4,0.0,0.0,inf
1999-11-17,17.5,,0.0,4,0.0,0.0,inf
1999-11-18,17.25,,0.0,4,0.0,0.0,inf
1999-11-19,17.63,,0.0,4,0.0,0.0,inf
1999-11-22,17.81,,0.0,4,0.0,0.0,inf
1999-11-23,19.13,,0.0,4,0.0,0.0,inf
1999-11-24,18.56,,0.0,4,0.0,0.0,inf
1999-11-26,18.44,,0.0,4,0.0,0.0,inf
1999-11-29,18.13,,0.0,4,0.0,0.0,inf
1999-11-30,18.38,,0.0,4,0.0,0.0,inf
1999-12-01,18.56,,0.0,4,0.0,0.0,inf
1999-12-02,19.0,,0.0,4,0.0,0.0,inf
1999-12-03,19.19,,0.0,4,0.0,0.0,inf
1999-12-06,18.38,,0.0,4,0.0,0.0,inf
1999-12-07,18.63,,0.0,4,0.0,0.0,inf
1999-12-08,18.19,,0.0,4,0.0,0.0,inf
1999-12-09,18.25,,0.0,4,0.0,0.0,inf
1999-12-10,17.63,,0.0,4,0.0,0.0,inf
1999-12-13,17.44,,0.0,4,0.0,0.0,inf
1999-12-14,17.13,,0.0,4,0.0,0.0,inf
1999-12-15,17.13,,0.0,4,0.0,0.0,inf
1999-12-16,16.81,,0.0,4,0.0,0.0,inf
1999-12-17,17.13,,0.0,4,0.0,0.0,inf
1999-12-20,16.94,,0.0,4,0.0,0.0,inf
1999-12-21,17.0,,0.0,4,0.0,0.0,inf
1999-12-22,17.19,,0.0,4,0.0,0.0,inf
1999-12-23,17.13,,0.0,4,0.0,0.0,inf
1999-12-27,17.13,,0.0,4,0.0,0.0,inf
1999-12-28,17.38,,0.0,4,0.0,0.0,inf
1999-12-29,17.25,,0.0,4,0.0,0.0,inf
1999-12-30,17.31,,0.0,4,0.0,0.0,inf
1999-12-31,17.19,,0.0,4,0.0,0.0,inf
2000-01-03,16.63,,0.0,4,0.0,0.0,inf
2000-01-04,15.88,,0.0,4,0.0,0.0,inf
2000-01-05,15.75,,0.0,4,0.0,0.0,inf
2000-01-06,16.0,,0.0,4,0.0,0.0,inf
2000-01-07,15.88,,0.0,4,0.0,0.0,inf
2000-01-10,16.0,,0.0,4,0.0,0.0,inf
2000-01-11,16.44,,0.0,4,0.0,0.0,inf
2000-01-12,17.13,,0.0,4,0.0,0.0,inf
2000-01-13,16.94,,0.0,4,0.0,0.0,inf
2000-01-14,17.5,,0.0,4,0.0,0.0,inf
2000-01-18,18.0,,0.0,4,0.0,0.0,inf
2000-01-19,18.25,,0.0,4,0.0,0.0,inf
2000-01-20,17.5,,0.0,4,0.0,0.0,inf
2000-01-21,17.38,,0.0,4,0.0,0.0,inf
2000-01-24,17.13,,0.0,4,0.0,0.0,inf
2000-01-25,17.25,,0.0,4,0.0,0.0,inf
2000-01-26,17.44,,0.0,4,0.0,0.0,inf
2000-01-27,17.5,,0.0,4,0.0,0.0,inf
2000-01-28,17.38,,0.0,4,0.0,0.0,inf
2000-01-31,17.5,,0.0,4,0.0,0.0,inf
2000-02-01,17.75,,0.0,4,0.0,0.0,inf
2000-02-02,17.94,,0.0,4,0.0,0.0,inf
