Fiscal Year,Price_Low,Price_High,RPS,FCFS,EPS,DPS,Revenue,COGS,GrossProfit,OperatingProfit,OPEX,NetProfit,CashFromOps,CAPEX,FreeCashFlow,SharesOutstanding,Issues,BuyBack,Dividends,CashAndEquivalents,MarketSecurities,Treasury,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities
1998-12,0.0,0.0,6.324,0.844,0.66,0.0,339.482,0.0,339.482,83.662,255.82,35.615,53.735,-8.414,45.321,53.682,34.214,-0.2,-12.3,113.45,2.5,-0.2,116.396,324.388,309.0,25.593
1999-12,0.0,19.19,6.652,1.701,1.04,0.0,380.981,0.0,380.981,110.943,270.038,59.417,116.326,-18.925,97.401,57.269,118.245,-0.55,0.0,157.129,0.0,0.0,222.966,224.616,119.0,48.056
2000-12,15.75,47.5,7.383,1.174,1.35,0.0,476.872,0.0,476.872,143.038,333.834,87.361,108.607,-32.761,75.846,64.591,1.138,-0.016,0.0,192.59,0.0,-0.016,275.874,261.129,157.0,11.762
2001-12,31.82,44.22,8.212,1.954,1.65,0.0,533.144,0.0,533.144,170.176,362.968,107.434,167.373,-40.479,126.894,64.926,1.94,-7.407,0.0,186.451,0.0,-0.604,186.451,498.027,0.0,198.361
2002-12,34.3,47.35,8.835,1.979,2.04,0.0,576.977,0.0,576.977,215.139,361.838,133.249,172.045,-42.827,129.218,65.308,5.038,-12.444,0.0,255.234,0.0,-5.431,369.304,494.884,211.0,18.534
2003-12,39.95,53.53,9.083,2.523,2.36,0.4,598.212,0.0,598.212,228.276,369.936,155.402,179.595,-13.453,166.142,65.86,7.538,-83.418,-25.614,315.941,0.0,-50.083,443.257,523.966,233.0,19.676
2004-12,53.99,77.51,10.996,3.12,2.17,1.0,725.311,0.0,725.311,171.895,553.416,143.141,231.358,-25.592,205.766,65.96,15.369,-57.607,-63.66,457.673,0.0,-51.354,612.617,532.618,342.0,17.714
2005-12,70.0,113.45,17.815,2.987,3.5,1.2,1191.386,64.611,1126.775,340.541,786.234,233.908,254.937,-55.154,199.783,66.875,15.847,-77.466,-76.606,484.223,298.668,-59.057,1122.469,725.531,587.0,329.143
2006-12,108.0,157.03,25.169,7.642,3.87,1.68,2098.0,173.0,1925.0,506.0,1419.0,323.0,721.0,-84.0,637.0,83.358,6.0,-31.0,-136.0,1160.304,0.0,-57.354,2415.096,18054.396,2048.948,6529.572
2007-12,144.82,222.03,36.878,3.623,7.37,2.68,4845.0,539.0,4306.0,1294.0,3012.0,993.0,587.0,-111.0,476.0,131.378,7.0,-383.0,-353.0,1656.0,0.0,-184.0,3067.0,19494.0,2290.0,8097.0
2008-12,98.88,230.75,38.546,13.549,5.78,3.12,5064.0,591.0,4473.0,1631.0,2842.0,784.0,1916.0,-136.0,1780.0,131.377,6.0,-46.0,-419.0,2032.0,0.0,-58.0,3242.0,16682.0,1674.0,5690.0
